Namespace(batch_size=30, dataset='exponential_hawkes', debug=False, evnt_align=False, jump_type='read', niters=5000, nsave=500, paramr='params.pth', paramw='params.pth', restart=False, seed0=True, suffix='')
iter: 0, current loss:   109.2236, running ave loss:   109.2236, type error: tensor([0.])
iter: 1, current loss:   111.9433, running ave loss:   109.2508, type error: tensor([0.])
iter: 2, current loss:   105.5987, running ave loss:   109.2143, type error: tensor([0.])
iter: 3, current loss:   109.6313, running ave loss:   109.2185, type error: tensor([0.])
iter: 4, current loss:   107.0446, running ave loss:   109.1967, type error: tensor([0.])
iter: 5, current loss:   101.6215, running ave loss:   109.1210, type error: tensor([0.])
iter: 6, current loss:   105.5021, running ave loss:   109.0848, type error: tensor([0.])
iter: 7, current loss:   104.8561, running ave loss:   109.0425, type error: tensor([0.])
iter: 8, current loss:   104.8700, running ave loss:   109.0008, type error: tensor([0.])
iter: 9, current loss:   105.6039, running ave loss:   108.9668, type error: tensor([0.])
iter: 10, current loss:    98.9887, running ave loss:   108.8670, type error: tensor([0.])
iter: 11, current loss:   105.4082, running ave loss:   108.8324, type error: tensor([0.])
iter: 12, current loss:    98.2389, running ave loss:   108.7265, type error: tensor([0.])
iter: 13, current loss:   102.8239, running ave loss:   108.6675, type error: tensor([0.])
iter: 14, current loss:    99.6421, running ave loss:   108.5772, type error: tensor([0.])
iter: 15, current loss:    98.1674, running ave loss:   108.4731, type error: tensor([0.])
iter: 16, current loss:    98.6434, running ave loss:   108.3748, type error: tensor([0.])
iter: 17, current loss:    99.0630, running ave loss:   108.2817, type error: tensor([0.])
iter: 18, current loss:    96.3090, running ave loss:   108.1620, type error: tensor([0.])
iter: 19, current loss:    95.2029, running ave loss:   108.0324, type error: tensor([0.])
iter: 20, current loss:    96.7295, running ave loss:   107.9194, type error: tensor([0.])
iter: 21, current loss:    93.2855, running ave loss:   107.7730, type error: tensor([0.])
iter: 22, current loss:    93.3104, running ave loss:   107.6284, type error: tensor([0.])
iter: 23, current loss:    92.5992, running ave loss:   107.4781, type error: tensor([0.])
