Namespace(batch_size=30, dataset='poisson', debug=False, evnt_align=False, jump_type='read', niters=5000, nsave=500, paramr='params.pth', paramw='params.pth', restart=False, seed0=True, suffix='')
iter: 0, current loss:   108.2028, running ave loss:   108.2028, type error: tensor([0.])
iter: 1, current loss:   108.8135, running ave loss:   108.2089, type error: tensor([0.])
iter: 2, current loss:   106.9892, running ave loss:   108.1967, type error: tensor([0.])
iter: 3, current loss:   106.5588, running ave loss:   108.1804, type error: tensor([0.])
iter: 4, current loss:   106.5103, running ave loss:   108.1637, type error: tensor([0.])
iter: 5, current loss:   107.4607, running ave loss:   108.1566, type error: tensor([0.])
iter: 6, current loss:   106.1519, running ave loss:   108.1366, type error: tensor([0.])
iter: 7, current loss:   105.0273, running ave loss:   108.1055, type error: tensor([0.])
iter: 8, current loss:   105.4699, running ave loss:   108.0791, type error: tensor([0.])
iter: 9, current loss:   104.5443, running ave loss:   108.0438, type error: tensor([0.])
iter: 10, current loss:   105.3755, running ave loss:   108.0171, type error: tensor([0.])
iter: 11, current loss:   105.2064, running ave loss:   107.9890, type error: tensor([0.])
iter: 12, current loss:   105.8997, running ave loss:   107.9681, type error: tensor([0.])
iter: 13, current loss:   104.8761, running ave loss:   107.9372, type error: tensor([0.])
iter: 14, current loss:   103.6843, running ave loss:   107.8947, type error: tensor([0.])
iter: 15, current loss:   105.4265, running ave loss:   107.8700, type error: tensor([0.])
iter: 16, current loss:   105.3740, running ave loss:   107.8450, type error: tensor([0.])
iter: 17, current loss:   103.3994, running ave loss:   107.8006, type error: tensor([0.])
iter: 18, current loss:   104.0627, running ave loss:   107.7632, type error: tensor([0.])
iter: 19, current loss:   103.2681, running ave loss:   107.7182, type error: tensor([0.])
iter: 20, current loss:   103.1686, running ave loss:   107.6727, type error: tensor([0.])
iter: 21, current loss:   102.5787, running ave loss:   107.6218, type error: tensor([0.])
iter: 22, current loss:   102.4217, running ave loss:   107.5698, type error: tensor([0.])
