Namespace(batch_size=30, dataset='self_inhibiting', debug=False, evnt_align=False, jump_type='read', niters=5000, nsave=500, paramr='params.pth', paramw='params.pth', restart=False, seed0=True, suffix='')
iter: 0, current loss:   173.5345, running ave loss:   173.5345, type error: tensor([0.])
iter: 1, current loss:   170.6720, running ave loss:   173.5059, type error: tensor([0.])
iter: 2, current loss:   168.4984, running ave loss:   173.4558, type error: tensor([0.])
iter: 3, current loss:   166.3646, running ave loss:   173.3849, type error: tensor([0.])
iter: 4, current loss:   164.9041, running ave loss:   173.3001, type error: tensor([0.])
iter: 5, current loss:   162.8892, running ave loss:   173.1960, type error: tensor([0.])
iter: 6, current loss:   161.4117, running ave loss:   173.0781, type error: tensor([0.])
iter: 7, current loss:   160.0524, running ave loss:   172.9479, type error: tensor([0.])
iter: 8, current loss:   158.6381, running ave loss:   172.8048, type error: tensor([0.])
iter: 9, current loss:   156.9868, running ave loss:   172.6466, type error: tensor([0.])
iter: 10, current loss:   155.4732, running ave loss:   172.4749, type error: tensor([0.])
iter: 11, current loss:   153.6789, running ave loss:   172.2869, type error: tensor([0.])
iter: 12, current loss:   152.4882, running ave loss:   172.0889, type error: tensor([0.])
iter: 13, current loss:   150.7803, running ave loss:   171.8758, type error: tensor([0.])
